State,County,Year,Month,Flash Flood Total Duration (Minutes),DSCI,None,D0,D1,D2,D3,D4,Population Density,Housing Unit Density,PCP Value,PCP Rank,PCP Anomaly (1901-2000 base period),1901-2000 PCP Mean,TMAX Value,TMAX Rank,TMAX Anomaly (1901-2000 base period),1901-2000 TMAX Mean,TAVG Value,TAVG Rank,TAVG Anomaly (1901-2000 base period),1901-2000 TAVG Mean,TMIN Value,TMIN Rank,TMIN Anomaly (1901-2000 base period),1901-2000 TMIN Mean,DEM Count,DEM Area,Land Area (Sq Mi),Land Area (Sq Km),Rank (Land Area),Water Area (Sq Mi),Water Area (Sq Km),Rank (Water Area),Total Area (Sq Mi),Total Area (Sq Km),Rank (Total Area),Slope Min,Slope Max,Slope Range,Slope Mean,Slope Std,Slope Sum,Slope Median,Slope Pct90,Elevation Min,Elevation Max,Elevation Range,Elevation Mean,Elevation Std,Elevation Sum,Elevation Median,Elevation Pct90,Flow Accumulation Min,Flow Accumulation Max,Flow Accumulation Range,Flow Accumulation Mean,Flow Accumulation Std,Flow Accumulation Sum,Flow Accumulation Median,Flow Accumulation Pct90,Curvature Min,Curvature Max,Curvature Range,Curvature Mean,Curvature Std,Curvature Sum,Curvature Median,Curvature Pct90,Planar Curvature Min,Planar Curvature Max,Planar Curvature Range,Planar Curvature Mean,Planar Curvature Std,Planar Curvature Sum,Planar Curvature Median,Planar Curvature Pct90,Profile Curvature Min,Profile Curvature Max,Profile Curvature Range,Profile Curvature Mean,Profile Curvature Std,Profile Curvature Sum,Profile Curvature Median,Profile Curvature Pct90
VA,Appomattox County,2010,1,136,0,100,0,0,0,0,0,17.41507584,8.036218928,4.38,106,1.0114,3.37,43.2,47,-2.048,45.2,33.6,41,-1.842,35.4,24,44,-1.637,25.6,1145519,0.088388812,333.49,863.74,59,1.24,3.21,92,334.73,866.95,62,0,51.02731323,51.02731323,4.97487038,3.518528633,5698808.543,4.178288937,9.15450325,95.45629883,352.0539856,256.5976868,204.5453501,28.97678205,234310584.9,205.2579193,241.6746521,0,12354542,12354542,2563.190068,158223.9523,2936182924,1,31,-95415386112,75227799552,1.71E+11,1559313.314,5841076529,1.79E+12,751939456,5611805082,-45326172160,34562772992,79888945152,68525395.76,3209238614,7.85E+13,294750816,3146490163,-47768588288,57054384128,1.05E+11,67015983.6,3519919638,7.68E+13,-332194912,3746294835
VA,Augusta County,2010,1,710,0,100,0,0,0,0,0,29.2636368,12.41549083,4.29,112,1.2949,3,37.1,27,-3.732,40.8,29.2,35,-2.275,31.5,21.2,54,-0.917,22.1,3349309,0.258434336,967,2504.52,2,3.86,10,56,970.86,2514.52,3,0,45.91569138,45.91569138,9.141470766,7.743450201,30617610.31,6.438438416,21.54697418,322.7993469,1360.403564,1037.604218,573.2775926,178.8327252,1920338336,525.2053833,844.2396729,0,1451500,1451500,1322.233382,28545.11705,4429155237,2,30,-71493771264,57737179136,1.29E+11,-662417.7258,5960069196,-2.22E+12,162870112,6193335808,-45074575360,39328030720,84402606080,144915804.4,3558301506,4.85E+14,157697392,3465791488,-39569190912,43484016640,83053207552,145583175,3540390661,4.88E+14,15378728,3376816640
VA,Bath County,2010,1,142,0,100,0,0,0,0,0,3.409747501,2.362483388,4.29,106,1.0579,3.23,35.4,17,-5.14,40.5,27.8,32,-3.041,30.8,20.1,49,-1.05,21.2,1840475,0.14201196,529.16,1370.52,17,5.42,14.04,45,534.58,1384.56,20,0,51.77371597,51.77371597,14.06428488,8.153362387,25884964.72,13.5682869,25.3873497,342.5218201,1362.569702,1020.047882,673.6702202,171.7584289,1240996880,648.0227661,911.9525513,0,1321019,1321019,2244.52197,42997.05685,4134730436,2,33,-92076351488,61070123008,1.53E+11,2053744.087,9115168897,3.78E+12,241022464,10576828416,-40629190656,38073999360,78703190016,208254238.3,5413817752,3.84E+14,208110000,5948473549,-48368205824,67452870656,1.16E+11,206227792.5,5431593995,3.80E+14,0,5823913779
VA,Botetourt County,2010,1,845,0,100,0,0,0,0,0,23.48044416,10.30836693,4.69,114,1.4789,3.21,38.9,18,-4.84,43.7,31,27,-3.276,34.3,23.2,41,-1.613,24.8,1868707,0.144190355,541.2,1401.7,15,4.71,12.2,50,545.91,1413.9,17,0,62.6211853,62.6211853,11.51805064,7.803728709,21523861.86,9.814300537,23.02141037,221.4706726,1286.234131,1064.763458,457.3688264,150.8165609,854688327.4,411.0708923,677.8543091,0,7106064,7106064,9927.434036,231418.609,18551465475,1,32,-77141860352,90082992128,1.67E+11,-1739665.339,8036657182,-3.25E+12,241813472,9169547878,-40860651520,41223831552,82084483072,234425926.8,4876742199,4.38E+14,267952192,5407945933,-56517697536,65604636672,1.22E+11,236165592.5,4642130774,4.41E+14,79725392,5026470195
VA,Buckingham County,2010,1,76,0,100,0,0,0,0,0,11.30798394,4.795522062,3.93,96,0.5552,3.37,44,47,-2.015,46,34.2,47,-1.597,35.8,24.4,51,-1.174,25.6,1997385,0.154119213,579.66,1501.31,12,3.9,10.1,54,583.56,1511.41,14,0,50.3455658,50.3455658,4.661247467,3.450438047,9310305.773,3.86321497,8.660939217,49.94461441,488.4812317,438.5366173,149.2641794,37.30018915,298138032.9,145.2627716,193.5917267,0,17017436,17017436,9225.166455,352232.2576,18426209099,1,31,-74189946880,1.02E+11,1.76E+11,154165.4046,5637761270,3.08E+11,721584256,5300957696,-49717551104,52740628480,1.02E+11,55171972.18,3090377375,1.10E+14,264418016,2952803584,-56963858432,52371832832,1.09E+11,55082406.02,3432518713,1.10E+14,-330291104,3485562829
VA,Carroll County,2010,1,5,0,100,0,0,0,0,0,24.30804798,13.42273741,5.82,120,2.4043,3.42,38.2,24,-3.806,42,30.3,35,-2.279,32.6,22.3,52,-0.862,23.2,1616392,0.124721605,474.69,1229.44,29,2.95,7.64,73,477.64,1237.08,32,0,49.58098602,49.58098602,9.764275119,6.172243703,15782896.19,8.382209778,18.33838959,336.5963135,1084.869385,748.2730713,750.8003434,115.1128109,1214198820,772.9865112,859.9356384,0,1285146,1285146,1486.68264,27621.39402,2404272086,1,26,-52965457920,57703641088,1.11E+11,1716811.95,6928200629,2.78E+12,607579072,7581014528,-39876329472,37594521600,77470851072,170015645.4,4088512035,2.75E+14,316203040,4444934144,-45356601344,44202950656,89559552000,168298944.2,4161884928,2.72E+14,-191583312,4814871296
VA,Giles County,2010,1,5,0,100,0,0,0,0,0,18.54994215,8.915027639,4.3,109,1.0682,3.23,35.2,11,-6.019,41.2,28,26,-3.829,31.8,20.8,46,-1.65,22.5,1231217,0.095001312,355.78,921.47,53,4.64,12.02,51,360.42,933.48,55,0,59.99286652,59.99286652,13.13991431,7.273247981,16178085.88,12.45610046,22.72269554,442.0488892,1328.415894,886.3670044,760.4426638,192.5768755,938074465.6,710.7692566,1051.325317,0,9406710,9406710,15023.47568,332763.2903,18532809368,2,33,-2.14E+11,2.37E+11,4.51E+11,1353113.449,8857676584,1.67E+12,445341792,9159573197,-1.23E+11,1.24E+11,2.47E+11,153070332,5206381456,1.89E+14,327502960,5422316288,-1.29E+11,1.34E+11,2.63E+11,151730618.2,5086239814,1.87E+14,-19598341,5241653043
VA,Henry County,2010,1,335,0,100,0,0,0,0,0,54.37752376,26.41280109,6.25,123,2.7532,3.5,43.8,23,-3.32,47.1,33.7,25,-2.91,36.6,23.7,31,-2.393,26.1,1299675,0.100283565,382.33,990.23,49,2.05,5.31,85,384.38,995.54,51,0,52.13241959,52.13241959,7.196291666,4.326822439,9352840.371,6.486437321,12.98100166,164.1186218,563.7316284,399.6130066,280.4289066,46.87713641,364808282,276.8875732,338.4923462,0,1832214,1832214,2618.247502,54447.49922,3406062466,1,27,-74998800384,61572853760,1.37E+11,-494056.0846,5986498651,-6.43E+11,687036608,6714812928,-36981837824,29522085888,66503923712,160252546.7,3410472353,2.08E+14,306287904,3860600550,-46891909120,61514960896,1.08E+11,160749890.1,3704239524,2.09E+14,-245723032,4770591693
VA,Lexington City,2010,1,340,0,100,0,0,0,0,0,1075.267176,388.2442748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8583,0.000662269,2.5,6.47,132,0.03,0.08,128,2.53,6.55,131,0,34.21192551,34.21192551,5.103104775,3.955985068,43799.94828,4.161417484,9.227033234,268.4768066,360.8321533,92.35534668,322.7567324,16.62637263,2770221.035,324.4930725,342.2949707,0,1778309,1778309,2625.118607,63653.76986,22531393,1,21,-28367085568,38161244160,66528329728,228473269.1,4856681449,1.96E+12,278793472,4527021875,-12046480384,24030683136,36077163520,148744694.1,1981546642,1.28E+12,114212936,2185134131,-36554969088,26508589056,63063558144,-79728576.46,3780682938,-6.84E+11,-123047608,3154044365
VA,Pittsylvania County,2010,1,165,0,100,0,0,0,0,0,25.09858099,12.35469419,5.5,119,2.046,3.45,44.4,39,-2.196,46.6,34.3,34,-2.244,36.5,24.2,37,-2.28,26.5,3316586,0.255909414,968.94,2509.54,1,9.23,23.91,41,978.17,2533.45,2,0,43.23411942,43.23411942,4.539186347,3.12432854,15054601.89,3.925128341,8.258706093,103.4203186,619.2762451,515.8559265,214.4566501,42.49629412,711550008.6,213.1890259,266.8768921,0,7821888,7821888,4468.573458,145845.3022,14826369249,1,29,-1.42E+11,1.41E+11,2.84E+11,-546981.874,3763946755,-1.81E+12,363224480,3910585523,-58486587392,61608247296,1.20E+11,70649124.31,2124278943,2.34E+14,155931800,2241672192,-79798312960,83773718528,1.64E+11,71197444.55,2330300979,2.36E+14,-147234680,2627906022
