State,County,Year,Month,Flood Occurrence Count,DSCI,None,D0,D1,D2,D3,D4,Population Density,Housing Unit Density,PCP Value,PCP Rank,PCP Anomaly (1901-2000 base period),1901-2000 PCP Mean,TMAX Value,TMAX Rank,TMAX Anomaly (1901-2000 base period),1901-2000 TMAX Mean,TAVG Value,TAVG Rank,TAVG Anomaly (1901-2000 base period),1901-2000 TAVG Mean,TMIN Value,TMIN Rank,TMIN Anomaly (1901-2000 base period),1901-2000 TMIN Mean,DEM Count,DEM Area,Land Area (Sq Mi),Land Area (Sq Km),Rank (Land Area),Water Area (Sq Mi),Water Area (Sq Km),Rank (Water Area),Total Area (Sq Mi),Total Area (Sq Km),Rank (Total Area),Slope Min,Slope Max,Slope Range,Slope Mean,Slope Std,Slope Sum,Slope Median,Slope Pct90,Elevation Min,Elevation Max,Elevation Range,Elevation Mean,Elevation Std,Elevation Sum,Elevation Median,Elevation Pct90,Flow Accumulation Min,Flow Accumulation Max,Flow Accumulation Range,Flow Accumulation Mean,Flow Accumulation Std,Flow Accumulation Sum,Flow Accumulation Median,Flow Accumulation Pct90,Curvature Min,Curvature Max,Curvature Range,Curvature Mean,Curvature Std,Curvature Sum,Curvature Median,Curvature Pct90,Planar Curvature Min,Planar Curvature Max,Planar Curvature Range,Planar Curvature Mean,Planar Curvature Std,Planar Curvature Sum,Planar Curvature Median,Planar Curvature Pct90,Profile Curvature Min,Profile Curvature Max,Profile Curvature Range,Profile Curvature Mean,Profile Curvature Std,Profile Curvature Sum,Profile Curvature Median,Profile Curvature Pct90
NV,Clark County,2010,1,3,245,0,0.509032258,54.32967742,45.16129032,0,0,24.62051422,12.39531427,2.74,121,1.7816,0.96,54.9,85,1.704,53.2,45.4,85,1.972,43.4,36,94,2.355,33.6,27104326,2.091383179,7891.42,20438.68,6,169.38,438.69,2,8060.8,20877.38,6,0,78.0610733,78.0610733,8.300512938,9.287194533,224979808.6,3.902926445,22.8973217,144.0630493,3628.923828,3484.860779,1008.17185,487.2594773,27340387583,914.6258545,1681.684082,0,45200532,45200532,7203.62135,448938.5703,1.95E+11,2,114,-2.75E+11,3.10E+11,5.85E+11,171612185.9,5578047903,4.65E+15,35770.34375,4632771584,-2.75E+11,3.10E+11,5.85E+11,171612185.9,5578047903,4.65E+15,35770.34375,4632771584,-2.58E+11,2.52E+11,5.10E+11,171624912.5,5102753480,4.65E+15,8305664,4402522112
VA,Alleghany County,2010,1,2,0,100,0,0,0,0,0,13.94070276,6.94927212,3.72,99,0.6501,3.07,36.5,18,-4.891,41.4,28.9,34,-3.002,31.9,21.3,48,-1.101,22.4,1542254,0.11900108,445.46,1153.74,37,3.3,8.55,65,448.76,1162.28,39,0,55.47034836,55.47034836,15.17015264,8.202012612,23396228.59,14.92273521,26.30229454,302.3504333,1235.274536,932.9241028,622.2988956,172.658811,960876789.5,599.4020691,861.6983032,0,2835011,2835011,3824.795146,80759.68499,5905774390,2,32,-77609033728,87670710272,1.65E+11,4590513.481,9816280893,7.09E+12,317830080,11742705664,-47610392576,41584754688,89195147264,242053492.7,5818171508,3.74E+14,253009072,6628368640,-54507659264,44895068160,99402727424,237465622.9,5885213887,3.67E+14,0,6597176320
VA,Amherst County,2010,1,4,0,100,0,0,0,0,0,26.11391527,11.28025673,5.55,116,2.0046,3.55,41,33,-2.857,43.9,32.1,36,-2.211,34.3,23.2,47,-1.558,24.8,1640328,0.126568519,473.93,1227.47,30,4.92,12.74,49,478.85,1240.22,31,0,43.79501724,43.79501724,9.933990146,6.889978902,16295002.19,8.152097702,20.34341869,117.9761658,1236.258179,1118.282013,340.5577299,199.4241588,558626380,257.0989685,644.8489624,0,12187370,12187370,16120.76882,417257.6484,26443348478,1,28,-66288136192,56254341120,1.23E+11,-2320859.015,6619579436,-3.81E+12,721287616,7327776973,-37982281728,33652836352,71635118080,151525239.4,3977114610,2.49E+14,311481616,4359219917,-36458082304,40619290624,77077372928,153847001.4,3912765220,2.52E+14,-214342736,4722061670
VA,Bedford County,2010,1,2,0,100,0,0,0,0,0,37.66155545,17.53005245,5.21,117,1.8035,3.41,41.4,26,-3.552,45,32.6,29,-2.689,35.3,23.8,40,-1.824,25.6,2648546,0.204363117,753.02,1950.31,5,16.23,42.04,25,769.25,1992.35,7,0,47.25701523,47.25701523,8.008530967,6.022824917,21210962.66,6.325768471,16.65507126,162.5114136,1285.711304,1123.19989,319.234765,134.236567,845507959.8,277.3320007,481.0548401,0,11001806,11001806,2946.372226,127331.0476,7803602374,1,29,-1.10E+11,52428238848,1.63E+11,-2646559.76,5678660256,-7.01E+12,577401856,6103041536,-67398500352,34714980352,1.02E+11,128320287.2,3366611825,3.40E+14,243716352,3564319232,-42970263552,76451012608,1.19E+11,130969007.1,3392697033,3.47E+14,-189694216,4075961216
VA,Campbell County,2010,1,3,0,100,0,0,0,0,0,41.78221891,18.85797349,4.49,108,1.1018,3.39,42.9,39,-2.234,45.1,33.3,38,-2.113,35.4,23.7,40,-1.983,25.7,1728102,0.133341204,503.87,1305.02,22,3.46,8.96,60,507.33,1313.98,25,0,35.27682114,35.27682114,4.884229362,3.419334311,8440446.529,4.103264332,9.157331753,107.5409622,436.4962769,328.9553146,212.3803175,40.44977585,367014851.4,210.3925705,265.4950226,0,11726062,11726062,5385.874736,183733.1527,9307340903,1,28,-50280333312,38675365888,88955699200,1583314.576,4133287487,2.74E+12,428374496,4209229389,-27423035392,28076187648,55499223040,81185392.58,2281506430,1.40E+14,178694920,2362952294,-29355483136,29309444096,58664927232,79603001.09,2608434767,1.38E+14,-170167912,2847067597
VA,Culpeper County,2010,1,1,0,100,0,0,0,0,0,47.27434218,17.82653895,3.57,95,0.5461,3.02,42.4,51,-0.972,43.4,33.6,69,0.431,33.2,24.8,85,1.845,23,1325925,0.102309028,379.23,982.2,51,3.31,8.57,64,382.54,990.77,52,0,30.75470543,30.75470543,3.419869955,2.771061506,4534491.07,2.81578064,6.962558651,31.82107544,329.8864136,298.0653381,119.3609596,30.06273007,158263680.4,114.7947922,160.8677032,0,2992864,2992864,4236.556907,82716.38912,5617356717,1,30,-54804193280,66685472768,1.21E+11,-304072.6499,4269612801,-4.03E+11,14238281,4706621952,-32793858048,39451385856,72245243904,92821386.35,2401283057,1.23E+14,51139796,2642069248,-36669485056,34625306624,71294791680,93207278.95,2503438867,1.24E+14,4565823.5,2565030400
VA,Franklin County,2010,1,1,0,100,0,0,0,0,0,30.48222648,15.91070644,5.72,119,2.4093,3.31,42.2,24,-3.359,45.6,32.9,30,-2.539,35.4,23.6,40,-1.713,25.3,2417646,0.186546759,690.43,1788.21,7,21.12,54.7,23,711.55,1842.91,9,0,45.75933075,45.75933075,8.300388199,6.033175544,20067400.33,6.726758003,16.80292702,202.8021393,1081.489624,878.6874847,365.5963091,115.0774098,883882454.3,339.4043427,487.1253052,0,3370016,3370016,2124.990849,47599.27005,5137475625,1,30,-46706704384,55263596544,1.02E+11,364237.9146,6261530707,8.81E+11,605641088,6705360384,-35831877632,44479819776,80311697408,141873637.4,3729065707,3.43E+14,265896200,3852504704,-41764487168,38729347072,80493834240,141513076.1,3719369913,3.42E+14,-180349200,4507634176
VA,Greene County,2010,1,1,0,100,0,0,0,0,0,45.41584646,18.52608268,4.47,112,1.3158,3.15,39.8,40,-2.404,42.2,31.5,52,-0.956,32.5,23.3,69,0.6,22.7,541296,0.041766667,156.25,404.69,92,0.66,1.71,104,156.91,406.4,97,0,44.73187256,44.73187256,9.38807428,7.402271617,5081727.056,6.804608345,20.83481216,105.4195404,1105.744629,1000.325089,352.8980464,241.8617054,191022300.9,219.7596741,775.499115,0,467438,467438,524.2842086,9036.681279,283792945,1,34,-60399738880,99689799680,1.60E+11,-8511983.245,6434864505,-4.61E+12,382307744,6780388096,-40509452288,61994606592,1.03E+11,102762142.8,3911843962,5.56E+13,235993184,4093284992,-39766355968,44483313664,84249669632,111302745.6,3506503633,6.02E+13,-82925268,4012021376
VA,Nelson County,2010,1,1,0,100,0,0,0,0,0,12.19250118,8.089803494,4.82,110,1.396,3.42,41.2,41,-2.217,43.4,32.3,45,-1.534,33.8,23.4,53,-0.848,24.2,1628120,0.125626543,470.86,1219.52,32,3.45,8.94,61,474.31,1228.46,35,0,50.01252365,50.01252365,11.10403862,7.751975213,18078707.35,9.221971989,22.73962517,89.52388763,1239.340698,1149.816811,337.1638414,228.4019044,548943193.5,238.7335205,734.0841797,0,14269268,14269268,10644.46321,354423.509,17330463449,1,31,-87540350976,94399569920,1.82E+11,-780903.7789,8766922851,-1.27E+12,813084992,9003182080,-58179399680,52451471360,1.11E+11,153652328.3,5351686335,2.50E+14,397678352,5445870899,-53528178688,55053602816,1.09E+11,154508635.9,4796769710,2.52E+14,-229430144,5549148723
VA,Patrick County,2010,1,6,0,100,0,0,0,0,0,14.67736809,8.022886205,6.67,121,2.9337,3.74,42.3,31,-2.688,45,32.9,36,-2.127,35,23.5,46,-1.565,25.1,1642216,0.126714198,483.1,1251.22,27,2.77,7.17,76,485.87,1258.4,30,0,53.36567307,53.36567307,10.38979425,7.253031918,17062286.36,8.536287308,20.7229681,234.2951508,1078.785645,844.4904938,482.0685031,175.4205531,792630048.6,426.3099976,818.9708374,0,691199,691199,794.3977164,12722.96413,1306170174,1,27,-57233223680,96647241728,1.54E+11,-1526327.455,7712046362,-2.51E+12,716937024,8268517888,-44332732416,63486242816,1.08E+11,194326505.6,4663812158,3.20E+14,369357408,4874678477,-60732514304,43079512064,1.04E+11,195853897.8,4491501702,3.22E+14,-188838144,5410736333
